Id,name,name2,place_type,street,city,address,cost,currency,hours,event_dates,website,media_desc,media_src,notes,region_id,country_id
65,Affligem Brewery,Brouwerij Affligem,restaurant,Ringlaan 18,Opwijk,"Ringlaan 18, Opwijk, Belgium",,,,,,,,,8,63
66,St. Bernardus Brewery,Brouwerij St. Bernardus,restaurant,Trappistenweg 23,Watou,"Trappistenweg 23, Watou, Belgium",,,,,,,,,8,63
67,Westmalle Brewery,Brouwerij Westmalle,restaurant,Antwerpsesteenweg 496,Westmalle,"Antwerpsesteenweg 496, Westmalle, Belgium",,,,,,,,,8,63
68,Andechs Monastery & Brewery,Andechs Monastery,restaurant,Bergstra_e 2,Andechs,"Bergstra_e 2, Andechs, Germany",,,,,,,,"Brewery tours only on Mon, Tue, Wed",3,62
69,Tegernseer Beer Hall,Tegernseer Br_ustuben,restaurant,Schlo_pl. 1,Tegernsee,"Schlo_pl. 1, Tegernsee, Germany",,,,,,,,"Beer hall at Benedictine monastary, can do hike through alps from Schliersee",3,62
70,Schlenkerla Beer Hall,Brauereiausschank Schlenkerla,restaurant,Dominikanerstrasse 6,Bamberg,"Dominikanerstrasse 6, Bamberg, Germany",,,,,http://www.schlenkerla.de/indexe.html,,,,3,62
71,Hofbr_uhaus M™nchen,Hofbr_uhaus M™nchen,restaurant,Platzl 9,Munich,"Platzl 9, Munich, Germany",,,,,,,,"3-floor beer hall dating back to the 16th century, with a Bavarian restaurant, shows & upbeat vibe.",3,62
72,G. Schneider & Sohn Brewery,G. Schneider & Sohn,restaurant,Emil-Ott-Stra_e 1,Kelheim,"Emil-Ott-Stra_e 1, Kelheim, Germany",8.5,euro,,,http://www.schneider-weisse.de/index.php?lang=en&tpl=aktuelles.themen,,,,3,62
73,Orvalle Brewery,Abbaye d'Orval,restaurant,Orval 1,Villers-devant-Orval,"Orval 1, Villers-devant-Orval, Belgium",,,,,,,,,9,63
74,Viktualienmarkt,Viktualienmarkt,activity,Viktualienmarkt 3,Munich,"Viktualienmarkt 3, Munich, Germany",,,,,,,,"The Viktualienmarkt is a daily food market and a square in the center of Munich, Germany. The Viktualienmarkt developed from an original farmers' market to a popular market for gourmets.",3,62
75,Augustiner-Keller Restaurant & Beerhaus,Augustiner-Keller,restaurant,Arnulfstra_e 52,Munich,"Arnulfstra_e 52, Munich, Germany",,,,,,,,"Landmark restaurant known for its large beer garden & hall, serving Bavarian & international dishes.",3,62
76,Zum Sternia,Zum Sternia,restaurant,Langestrasse 46,Bamberg,"Langestrasse 46, Bamberg, Germany",,,,,,,,A wursthaus started in 1380,3,62
77,Bamberg Town Hall,Altes Rathaus,activity,Altes Rathaus,Bamberg,"Altes Rathaus, Bamberg, Germany",,,,,,,,,3,62
78,Neue Residenz,Neue Residenz,activity,Domplatz 8,Bamberg,"Domplatz 8, Bamberg, Germany",,,,,,,,,3,62
79,Historic Wurstkuchl,Historic Wurstkuchl,restaurant,Thundorerstrasse 3,Regensburg,"Thundorerstrasse 3, Regensburg, Germany",,,,,,,,A 900-year old sausage haus with sausages cooked over wood fires,3,62
80,Heidelberg Castle,Schloss Heidelberg,activity,Schlosshof 1,Heidelberg,"Schlosshof 1, Heidelberg, Germany",,,,,,,,,3,62
81,Neuschwanstein castle,Schloss Neuschwanstein,activity,Neuschwansteinstra_e 20,Schwangau,"Neuschwansteinstra_e 20, Schwangau, Germany",,,,,,,,The inspiration for Walt Disney's castle. Built by ,3,62
82,Linderhoff Castle,Schloss Linderfhoff,activity,Linderhof 12,Ettal,"Linderhof 12, Ettal, Germany",,,,,,,,King Ludwig's favorite retreat in the bavarian alps.,3,62
83,Niederbayern,test,activity,,,,,,,,,,,"This stretch of territory to the East of Munich extends through the Bavarian Forest to the Austrian and Czech borderlands and is one of the least-traveled regions of Germany. That alone makes Lower Bavaria an attractive destination, but the history and culture of beer make it even more appealing.",3,62
84,Veteran Henley Regatta,test,activity,"Henley Royal Regatta Headquarters, Henley Bridge",Henley-on-Thames,,0,,,Fri Jul 10th - Sat Jul 11th,http://www.henleymastersregatta.org.uk/,Henley course map (pdf),assets/henley-course-map.pdf,"Races are on Friday, July 11th & Saturday, 12th. Check with Mike on race times.",1,61
85,Weihenstephan Brewery,Bayerische Staatsbrauerei Weihenstephan,restaurant,Alte Akademie 2,Freising,"Alte Akademie 2, 85354 Freising, Germany",6,euros,"Mondays: 10.00 a.m.
Tuesdays: 10.00 a.m. and 01.30 p.m.
Wednesdays: 10.00 a.m.",,http://us.weihenstephaner.com/en/brewery-tour,,,"Guided brewery tour (duration 60-70 min) / 6 ‰âÂ incl. 2 ‰âÂ - voucher for the Weihenstephaner beverage shop (beverages & advertising media)
Brewery tour incl. tasting:
Guided brewery tour incl. beer tasting session (duration approx. 120 min) / 9 ‰âÂ incl. pretzel and 2 ‰âÂ - voucher for the Weihenstephaner beverage shop and a wheat beer glass 0,1l as a gift",3,62
